,dataset,model,size,dropout,opt,lr,accuracy,f1_weighted
141,crema,vggish,1024,0.0,adamax,1e-05,0.3865143699336772,0.3724810458372199
142,crema,vggish,1024,0.5,adamax,0.001,0.3843036109064112,0.36770821828351846
143,crema,vggish,512,0.5,adamax,0.001,0.39388356669123065,0.37810440279201524
144,crema,vggish,2048,0.2,adamax,0.001,0.38909358879882094,0.3761440626820823
145,crema,vggish,512,0.5,adam,0.001,0.37693441414885775,0.36697431116050144
146,crema,vggish,1024,0.0,adam,0.0001,0.40051584377302873,0.40012687207608977
147,crema,vggish,2048,0.0,adam,1e-05,0.3898305084745763,0.38140816119726706
148,crema,vggish,1024,0.2,adamax,0.0001,0.3909358879882093,0.37690819821608756
149,crema,vggish,1024,0.2,adam,0.0001,0.37361827560795874,0.36615584778896454
150,crema,yamnet,4096,0.5,adamax,0.0001,0.3378010242998801,0.3314879027240304
151,crema,yamnet,2048,0.0,adam,0.001,0.3373651520104609,0.3080977156937436
152,crema,yamnet,2048,0.5,adamax,0.001,0.3443391086411681,0.3047561217361906
153,crema,yamnet,4096,0.5,adamax,0.0001,0.33790999237223496,0.3269174679078551
154,crema,yamnet,4096,0.0,adam,0.001,0.3375830881551705,0.3206136857035299
155,crema,yamnet,2048,0.0,adam,0.001,0.3531655225019069,0.3330426113841438
156,crema,yamnet,4096,0.2,adam,0.001,0.34117903454287896,0.31837774175905476
157,crema,yamnet,2048,0.0,adam,0.0001,0.3356216628527841,0.32431086448055313
158,crema,yamnet,2048,0.0,adamax,0.001,0.34444807671352295,0.3125593227167724
159,crema,yamnet,2048,0.0,adamax,0.0001,0.34292252370055576,0.3176504548836675
160,crema,yamnet,4096,0.0,adamax,1e-05,0.3493516399694889,0.33588295512668764
161,crema,yamnet,4096,0.2,adam,0.001,0.32668628091969054,0.3180635712247552
162,crema,yamnet,4096,0.5,adam,1e-05,0.3458646616541353,0.3216960489636872
163,crema,yamnet,4096,0.5,adam,0.001,0.33889070502342816,0.3193652419789123
164,crema,yamnet,2048,0.2,adam,0.001,0.34226871526642694,0.32743049039903294
165,crema,yamnet,4096,0.0,adam,0.0001,0.34542878936471616,0.32088509663145637
166,crema,yamnet,4096,0.2,adamax,0.0001,0.33954451345755693,0.33295055562352943
167,crema,yamnet,4096,0.5,adamax,1e-05,0.34717227852239296,0.3348522583739536
168,subesco,vggish,1024,0.2,adamax,0.001,0.510655090765588,0.5086808631994822
169,subesco,vggish,512,0.0,adamax,1e-05,0.516179952644041,0.5077863356552714
